id,date,store_nbr,family,sales,onpromotion,warehouse_id,supplier_id,lead_time_days,purchase_price,selling_price,storage_cost_per_unit
1945944,2016-01-01,1,AUTOMOTIVE,0.0,0,W3,S4,3,33.12,58.02,0.06
1945945,2016-01-01,1,BABY CARE,0.0,0,W1,S2,7,39.51,70.51,0.05
1945946,2016-01-01,1,BEAUTY,0.0,0,W3,S4,3,45.8,65.2,0.06
1945947,2016-01-01,1,BEVERAGES,0.0,0,W3,S3,10,11.64,14.57,0.06
1945948,2016-01-01,1,BOOKS,0.0,0,W1,S5,8,46.62,75.45,0.05
1945949,2016-01-01,1,BREAD/BAKERY,0.0,0,W1,S1,5,18.47,31.73,0.05
1945950,2016-01-01,1,CELEBRATION,0.0,0,W3,S4,3,38.2,61.69,0.06
1945951,2016-01-01,1,CLEANING,0.0,0,W2,S3,10,40.93,62.76,0.07
1945952,2016-01-01,1,DAIRY,0.0,0,W3,S5,8,14.37,21.95,0.06
1945953,2016-01-01,1,DELI,0.0,0,W3,S3,10,48.12,61.77,0.06
1945954,2016-01-01,1,EGGS,0.0,0,W3,S1,5,47.06,62.49,0.06
1945955,2016-01-01,1,FROZEN FOODS,0.0,0,W3,S2,7,36.18,47.07,0.06
1945956,2016-01-01,1,GROCERY I,0.0,0,W1,S2,7,16.21,23.42,0.05
1945957,2016-01-01,1,GROCERY II,0.0,0,W3,S3,10,32.64,49.52,0.06
1945958,2016-01-01,1,HARDWARE,0.0,0,W2,S1,5,23.77,35.68,0.07
1945959,2016-01-01,1,HOME AND KITCHEN I,0.0,0,W1,S3,10,47.23,64.73,0.05
1945960,2016-01-01,1,HOME AND KITCHEN II,0.0,0,W2,S2,7,26.27,34.57,0.07
1945961,2016-01-01,1,HOME APPLIANCES,0.0,0,W2,S3,10,37.75,58.85,0.07
1945962,2016-01-01,1,HOME CARE,0.0,0,W2,S5,8,35.48,49.55,0.07
1945963,2016-01-01,1,LADIESWEAR,0.0,0,W2,S1,5,20.84,26.18,0.07
1945977,2016-01-01,10,AUTOMOTIVE,0.0,0,W1,S2,7,31.42,48.95,0.05
1945978,2016-01-01,10,BABY CARE,0.0,0,W1,S3,10,26.4,44.2,0.05
1945979,2016-01-01,10,BEAUTY,0.0,0,W2,S1,5,24.99,30.83,0.07
1945980,2016-01-01,10,BEVERAGES,0.0,0,W2,S3,10,44.56,62.4,0.07
1945981,2016-01-01,10,BOOKS,0.0,0,W1,S2,7,15.59,20.52,0.05
1945982,2016-01-01,10,BREAD/BAKERY,0.0,0,W1,S1,5,26.42,42.73,0.05
1945983,2016-01-01,10,CELEBRATION,0.0,0,W1,S2,7,10.27,17.76,0.05
1945984,2016-01-01,10,CLEANING,0.0,0,W3,S5,8,20.48,26.79,0.06
1945985,2016-01-01,10,DAIRY,0.0,0,W3,S5,8,34.87,61.25,0.06
1945986,2016-01-01,10,DELI,0.0,0,W3,S4,3,13.5,18.48,0.06
1945987,2016-01-01,10,EGGS,0.0,0,W2,S1,5,20.85,27.42,0.07
1945988,2016-01-01,10,FROZEN FOODS,0.0,0,W3,S5,8,45.21,80.71,0.06
1945989,2016-01-01,10,GROCERY I,0.0,0,W2,S4,3,37.67,62.78,0.07
1945990,2016-01-01,10,GROCERY II,0.0,0,W2,S1,5,12.81,18.11,0.07
1945991,2016-01-01,10,HARDWARE,0.0,0,W3,S2,7,49.7,76.68,0.06
1945992,2016-01-01,10,HOME AND KITCHEN I,0.0,0,W2,S3,10,47.81,73.01,0.07
1945993,2016-01-01,10,HOME AND KITCHEN II,0.0,0,W3,S3,10,15.67,20.09,0.06
1945994,2016-01-01,10,HOME APPLIANCES,0.0,0,W3,S2,7,46.87,82.68,0.06
1945995,2016-01-01,10,HOME CARE,0.0,0,W1,S5,8,32.0,49.37,0.05
